CustomerID,LastPurchaseDate,TotalOrders,TotalRevenue,DaysSinceLastPurchase,Churn
12346.0,2010-10-04 16:33:00,15,-64.68,66,0
12347.0,2010-12-07 14:57:00,2,1323.32,2,0
12348.0,2010-09-27 14:59:00,1,222.16,73,0
12349.0,2010-10-28 08:23:00,4,2646.99,42,0
12351.0,2010-11-29 15:23:00,1,300.93,10,0
12352.0,2010-11-29 10:07:00,2,343.8,10,0
12353.0,2010-10-27 12:44:00,1,317.76,43,0
12355.0,2010-05-21 11:59:00,1,488.21000000000004,202,1
12356.0,2010-11-24 12:24:00,3,3562.25,15,0
12357.0,2010-11-16 14:29:00,2,12079.99,23,0
12358.0,2010-11-29 10:56:00,3,2719.01,10,0
12359.0,2010-10-10 11:16:00,8,2469.36,60,0
12360.0,2010-11-25 11:04:00,6,1550.83,14,0
12361.0,2010-09-03 15:19:00,3,321.35,97,1
12362.0,2009-12-01 10:10:00,1,130.0,373,1
12366.0,2010-03-16 10:28:00,1,500.24,268,1
12368.0,2010-03-21 15:56:00,1,917.6999999999999,263,1
12369.0,2010-10-22 13:13:00,3,1791.15,48,0
12370.0,2010-03-25 12:10:00,3,774.62,259,1
12371.0,2010-10-26 13:37:00,3,2179.42,44,0
12373.0,2010-03-25 13:49:00,2,763.0500000000001,259,1
12374.0,2010-10-14 13:31:00,3,2246.29,56,0
12376.0,2010-11-15 12:15:00,2,503.15,24,0
12377.0,2010-11-23 19:24:00,2,1798.2,16,0
12378.0,2010-05-26 14:07:00,1,1407.7,197,1
12379.0,2010-10-13 14:46:00,2,767.98,57,0
12380.0,2010-11-23 12:06:00,10,5167.44,16,0
12382.0,2010-01-26 16:25:00,1,-18.38,317,1
12385.0,2010-11-25 15:19:00,2,1923.4,14,0
12386.0,2010-12-08 09:53:00,1,258.9,1,0
12387.0,2010-10-20 16:27:00,1,143.94,50,0
12388.0,2010-09-20 12:41:00,2,1120.45,80,0
12389.0,2010-11-02 11:52:00,3,1433.33,37,0
12391.0,2010-09-01 12:38:00,6,2286.93,99,1
12392.0,2010-04-27 14:04:00,1,234.75000000000003,226,1
12393.0,2010-11-22 16:10:00,3,794.15,17,0
12395.0,2010-12-03 16:35:00,4,2048.64,6,0
12396.0,2010-02-03 13:22:00,1,931.43,309,1
12399.0,2010-11-19 08:53:00,3,853.65,20,0
