ds,yhat,yhat_lower,yhat_upper
2009-12-01,33975.504217955975,18107.597125563458,49887.809467619045
2009-12-02,30999.617997645528,14881.515344306075,48204.31673740527
2009-12-03,35835.66853264059,19873.49601378235,52956.95619748323
2009-12-04,28141.978133517827,12869.786951992633,44783.58239994012
2009-12-05,8974.605184567568,-7523.982990269372,25171.931155577124
2009-12-06,20058.93062853951,4105.10486691694,35135.77298065726
2009-12-07,35709.48164988446,18480.1502467064,51848.98994977783
2009-12-08,33699.97021597682,17997.754457380488,51057.13559874331
2009-12-09,30724.083995670902,13414.977817313094,46951.385975039506
2009-12-10,35560.13453065093,18751.770816497676,51924.06535389778
2009-12-11,27866.444131524247,12110.400248456352,44799.5922260232
2009-12-13,19783.39665593027,3902.8885572663803,35552.688344067916
2009-12-14,35433.94769193963,19992.016549417694,50780.00704883719
2009-12-15,33424.43627271942,17911.151521126605,50066.404149125854
2009-12-16,30448.550067079068,14637.135989111377,46892.38966090001
2009-12-17,35284.60061673732,19416.92190353046,51162.41888730536
2009-12-18,27590.910232278988,11212.58606199713,43208.401826294874
2009-12-20,19507.862756712686,3507.1228477270483,34846.83860924782
2009-12-21,35158.413792707375,18545.050930806607,51324.107344144126
2009-12-22,33148.90237347968,17396.499202195013,48929.16011552975
2009-12-23,30173.016167844446,13287.997003086733,46076.400375434845
2010-01-04,34607.34604153706,18793.71200329455,51215.121520455534
2010-01-05,32597.83462623447,16261.223176278167,48864.64568186554
2010-01-06,29621.948424540442,14215.377350156545,45143.31715632309
2010-01-07,34457.99897815153,19291.49134306741,49504.96140688856
2010-01-08,26764.30859762694,10160.71711147755,41663.792544309006
2010-01-10,18681.26112990488,3175.0258586437044,34901.886036181735
2010-01-11,34331.812169872246,18635.51323836673,51511.933811827745
2010-01-12,32322.30075458606,16578.82754988436,48386.008866381664
2010-01-13,29346.414552897026,13182.286597196808,45096.861641726784
2010-01-14,34182.465262814854,18241.498002256943,50687.766428702336
2010-01-15,26488.775038588214,10288.643623947848,42788.61385454767
2010-01-17,18405.727883481253,2715.000380740575,34902.32534256878
2010-01-18,34056.279079790474,18218.68892127647,49193.82837935405
2010-01-19,32046.767820809047,15374.085876525136,47853.88146467472
2010-01-20,29070.881775435813,13055.95155556575,44041.549515368744
2010-01-21,33906.93248534912,18459.538777908667,49929.42605249515
2010-01-22,26213.24226114574,9605.659728330867,42271.46287551238
2010-01-24,18130.19510602431,826.1863719508725,34910.45289503004
2010-01-25,33780.74630233235,16420.004933370237,49153.464443287514
2010-01-26,31772.222285165633,15662.349558264752,47504.95356972359
2010-01-27,28797.32348161932,14084.463459538794,43726.96979823136
2010-01-28,33634.36143337756,18461.17151537294,49402.56298271156
2010-01-29,25941.658450988794,9165.950831831231,42649.18089449477
2010-01-31,17860.585779561392,2041.9972890707897,33366.81841143904
2010-02-01,33512.124217688885,17483.061895968975,49808.14972217692
2010-02-02,31503.600200532426,14980.00593759229,48149.887711264804
2010-02-03,28528.701396973327,13159.946819456485,44912.73638131906
2010-02-04,33365.739348720424,18141.981490436126,50260.47238700151
2010-02-05,25673.036366323846,10075.275788215973,42035.16972697388
2010-02-07,17592.924064532413,1021.3515815499056,34950.67081723135
2010-02-08,33244.942687488285,17837.90445991054,50670.41584208047
2010-02-09,31236.89885516205,15089.42373984248,47289.90644316584
2010-02-10,28262.480236430325,11712.21953255204,44541.09033977075
2010-02-11,33099.99837300897,17718.618218730084,49052.49677065502
2010-02-12,25407.775575414715,8467.306930881427,41210.91980566046
2010-02-14,17327.663273650964,1172.5239248076475,33490.97755265004
2010-02-15,32979.68189660835,16881.528711371975,49159.7204305834
