StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders
10002,INFLATABLE POLITICAL GLOBE ,6753,5454.46,317
10080,GROOVY CACTUS INFLATABLE,12,10.2,5
10109,BENDY COLOUR PENCILS,4,1.68,1
10120,DOGGY RUBBER,457,99.27,48
10120,Zebra invcing error,-9000,0.0,1
10125,MINI FUNKY DESIGN TAPES,855,763.36,81
10133,COLOURING PENCILS BROWN TUBE,1005,854.87,102
10134,COLOURING PENCILS BROWN TUBE,617,711.13,53
10135,COLOURING PENCILS BROWN TUBE,2032,2422.71,160
10138,ASSORTED COLOUR JUMBO PEN,67,29.32,25
11001,ASSTD DESIGN RACING CAR PEN,2643,4262.5,151
15002,rex use,-1000,0.0,1
15030,FAN BLACK FRAME ,111,32.19,14
15034,PAPER POCKET TRAVELING FAN ,3612,586.4200000000001,125
15036,ASSORTED COLOURS SILK FAN,20474,14333.36,495
15039,SANDALWOOD FAN,3027,2381.39,165
16008,SMALL FOLDING SCISSOR(POINTED EDGE),251,62.75,16
16010,FOLDING CAMPING SCISSOR W/KNIF & S,14,1.68,2
16011, ANIMAL STICKERS,385,80.85,12
16011,ANIMAL STICKERS,1724,360.84,57
16012,FOOD/DRINK SPONGE STICKERS,970,203.7,29
16012,FOOD/DRINK SPUNGE STICKERS,759,158.19,20
16014,SMALL CHINESE STYLE SCISSOR,17042,5503.64,43
16015,MEDIUM CHINESE STYLE SCISSOR,911,421.9,42
16016,LARGE CHINESE STYLE SCISSOR,1065,837.65,45
16033,MINI HIGHLIGHTER PENS,13801,1386.12,50
16043,POP ART PUSH DOWN RUBBER ,1063,100.86,13
16044,POP-ART FLUORESCENT PENS,6193,389.22,3
16045,POPART WOODEN PENCILS ASST,412,49.44,6
16046,TEATIME PEN CASE & PENS,5361,780.91,48
16047,POP ART PEN CASE & PENS,5430,641.6800000000001,32
16048,TEATIME ROUND PENCIL SHARPENER ,2001,331.76,38
16049,TEATIME GEL PENS ASST,2665,478.4,27
16050,TEATIME PENCIL WITH RUBBER,151,46.45,8
16051,TEATIME PENCIL W STAMP ASST,941,84.69,4
16052,TEATIME PUSH DOWN RUBBER,347,157.62,24
16053,POPART COL BALLPOINT PEN ASST,2313,125.73,11
16054,POPART RECT PENCIL SHARPENER ASST,44,18.48,6
16119,FUNKY GIRL ADDRESS BOOK,273,130.71,8
16192,PINK BALLET OPENING CUBE BOX ,3,12.899999999999999,1
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,447,292.86,38
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8,5.2,3
16216,LETTER SHAPE PENCIL SHARPENER,715,120.04,45
16218,CARTOON  PENCIL SHARPENERS,811,171.21,37
16219,HOUSE SHAPE PENCIL SHARPENER,310,93.53,29
16225,RATTLE SNAKE EGGS,715,607.08,68
16235,?,-9000,0.0,1
16235,RECYCLED PENCIL WITH RABBIT ERASER,2707,631.59,154
16236,KITTY PENCIL ERASERS,1200,273.34,131
16237,SLEEPING CAT ERASERS,5913,1282.59,310
16238,PARTY TIME PENCIL ERASERS,1127,258.01,111
16239,BALLERINA HEART DECORATION.,347,492.17,21
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,901,263.08,23
16259,PIECE OF CAMO STATIONERY SET,2067,434.07,27
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1133,276.73,24
17003,BROCADE RING PURSE ,47647,8879.82,234
17021,NAMASTE SWAGAT INCENSE,1931,496.5,34
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3244,857.4,70
17033,Sold as 17003?,-160,0.0,1
17033,sold as 17003?,-2200,0.0,1
17038,PORCELAIN BUDAH INCENSE HOLDER,1134,103.45,22
17039,INLAID WOOD INCENSE HOLDER,3707,837.88,43
17061,ASSORTED SHAPED STENCIL FOR HENNA,52,2.08,1
